cost,SR,max_value,operation_time
187.0,-0.7434000000000003,2.7434000000000003,2.2400946617126465
188.0,-0.7434000000000003,2.7434000000000003,2.1685564517974854
189.0,-0.7434000000000003,2.7434000000000003,2.226109027862549
190.0,-0.7434000000000003,2.7434000000000003,2.2293405532836914
192.0,-0.7434000000000003,2.7434000000000003,2.2673323154449463
194.0,-0.7434000000000003,2.7434000000000003,2.4039368629455566
197.0,-0.7434000000000003,2.7434000000000003,2.257585287094116
199.0,-0.7434000000000003,2.7434000000000003,2.2255821228027344
200.0,-0.7434000000000003,2.7434000000000003,2.2674951553344727
201.0,-0.7434000000000003,2.7434000000000003,2.272838830947876
205.0,-0.7434000000000003,2.7434000000000003,2.2577481269836426
206.0,-0.7434000000000003,2.7434000000000003,2.3156068325042725
212.0,-0.7434000000000003,2.7434000000000003,2.6330878734588623
213.0,-0.7434000000000003,2.7434000000000003,8.706241846084595
214.0,-0.7434000000000003,2.7434000000000003,2.281510591506958
215.0,-0.7434000000000003,2.7434000000000003,2.3481075763702393
217.0,-0.7434000000000003,2.7434000000000003,2.266026020050049
220.0,-0.7434000000000003,2.7434000000000003,2.27077317237854
221.0,-0.7434000000000003,2.7434000000000003,2.2874791622161865
222.0,-0.7434000000000003,2.7434000000000003,2.3149492740631104
223.0,-0.7434000000000003,2.7434000000000003,2.301642656326294
224.0,-0.7434000000000003,2.7434000000000003,2.305499792098999
225.0,-0.7434000000000003,2.7434000000000003,2.3157522678375244
226.0,-0.7434000000000003,2.7434000000000003,2.336085081100464
230.0,-0.7434000000000003,2.7434000000000003,2.4331116676330566
231.0,-0.7434000000000003,2.7434000000000003,2.531216621398926
235.0,-0.7434000000000003,2.7434000000000003,2.535619020462036
236.0,-0.7434000000000003,2.7434000000000003,2.6098198890686035
237.0,-0.7434000000000003,2.7434000000000003,8.766071081161499
238.0,-0.7434000000000003,2.7434000000000003,2.6961472034454346
240.0,-0.7434000000000003,2.7434000000000003,2.6007838249206543
241.0,-0.7434000000000003,2.7434000000000003,2.673043727874756
244.0,-0.7434000000000003,2.7434000000000003,2.5153470039367676
245.0,-0.7434000000000003,2.7434000000000003,2.693068742752075
248.0,-0.7434000000000003,2.7434000000000003,2.9076149463653564
249.0,-0.7434000000000003,2.7434000000000003,2.5970425605773926
250.0,-0.7434000000000003,2.7434000000000003,2.544496536254883
251.0,-0.7434000000000003,2.7434000000000003,2.495022773742676
252.0,-0.7434000000000003,2.7434000000000003,2.806588649749756
253.0,-0.7434000000000003,2.7434000000000003,2.561361312866211
255.0,-0.7434000000000003,2.7434000000000003,2.5149946212768555
256.0,-0.7434000000000003,2.7434000000000003,2.4912023544311523
258.0,-0.7434000000000003,2.7434000000000003,2.628408432006836
259.0,-0.7434000000000003,2.7434000000000003,2.9306256771087646
260.0,-0.7434000000000003,2.7434000000000003,2.7294774055480957
261.0,-0.7434000000000003,2.7434000000000003,3.174154043197632
262.0,-0.7434000000000003,2.7434000000000003,3.700451135635376
263.0,-0.7434000000000003,2.7434000000000003,3.867945432662964
265.0,-0.7434000000000003,2.7434000000000003,3.9565646648406982
266.0,-0.7434000000000003,2.7434000000000003,3.8082175254821777
268.0,-0.7434000000000003,2.7434000000000003,3.592991590499878
270.0,-0.7434000000000003,2.7434000000000003,3.810837507247925
271.0,-0.7434000000000003,2.7434000000000003,4.051126956939697
272.0,-0.7434000000000003,2.7434000000000003,3.947266101837158
277.0,-0.7434000000000003,2.7434000000000003,3.9966142177581787
278.0,-0.7434000000000003,2.7434000000000003,3.818296432495117
279.0,-0.7434000000000003,2.7434000000000003,3.9178221225738525
280.0,-0.7434000000000003,2.7434000000000003,3.9285707473754883
282.0,-0.7434000000000003,2.7434000000000003,3.470431089401245
283.0,-0.7434000000000003,2.7434000000000003,3.9681642055511475
284.0,-0.7434000000000003,2.7434000000000003,3.4781696796417236
285.0,-0.7434000000000003,2.7434000000000003,9.935824632644653
286.0,-0.7434000000000003,2.7434000000000003,3.475879430770874
288.0,-0.7434000000000003,2.7434000000000003,3.8166046142578125
291.0,-0.7434000000000003,2.7434000000000003,3.942655563354492
292.0,-0.7434000000000003,2.7434000000000003,3.7088189125061035
293.0,-0.7434000000000003,2.7434000000000003,3.8811419010162354
294.0,-0.7434000000000003,2.7434000000000003,3.501298666000366
295.0,-0.7434000000000003,2.7434000000000003,3.956880569458008
297.0,-0.7434000000000003,2.7434000000000003,3.8449063301086426
298.0,-0.7434000000000003,2.7434000000000003,3.4233055114746094
299.0,-0.7434000000000003,2.7434000000000003,3.9897093772888184
300.0,-0.7434000000000003,2.7434000000000003,3.9903554916381836
