cost,SR,data,y,operation_time,time
tensor(207.),0.02800459861755389,"[0.9575059106905, 0.9891833725884, 0.8518369509952]",2.1719954013824463,0.00013899803161621094,0.0003001689910888672
tensor(214.),-0.030397701263427557,"[0.9957970225436, 0.9904317130248, 0.8773812080234]",2.2303977012634277,5.602836608886719e-05,0.0003082752227783203
tensor(219.),-0.030397701263427557,"[0.7609723059693, -0.6231940319725, 0.7331786504133]",0.8036139011383057,4.100799560546875e-05,0.00031113624572753906
tensor(225.),-0.030397701263427557,"[0.9251125801689, 0.9895204666745, 0.8216964551305]",2.1258087158203125,3.790855407714844e-05,0.0003161430358886719
tensor(231.),-0.030397701263427557,"[0.9683122954416, 0.9910497289508, 0.7786916446454]",2.190585136413574,3.504753112792969e-05,0.0003170967102050781
tensor(237.),-0.030500698089599432,"[0.9941348972758, 0.9921669352971, 0.7842180624478]",2.2305006980895996,4.9114227294921875e-05,0.00032901763916015625
tensor(243.),-0.030500698089599432,"[0.9824776826814, 0.9886575212029, 0.8287307374388]",2.207920551300049,3.790855407714844e-05,0.0003299713134765625
tensor(249.),-0.030500698089599432,"[0.9423110778023, 0.9917126484371, 0.8053698081709]",2.153733730316162,3.314018249511719e-05,0.0003368854522705078
tensor(256.),-0.030500698089599432,"[0.9996162755322, 0.9824267066546, 0.8478530895295]",2.2242188453674316,0.00011610984802246094,0.000354766845703125
tensor(263.),-0.030500698089599432,"[0.9986190514983, 0.9839923925129, 0.8480041752305]",2.225046157836914,4.410743713378906e-05,0.0003459453582763672
tensor(270.),-0.031056690216064275,"[0.9993241665865, 0.9873267287146, 0.8513832755763]",2.2310566902160645,3.910064697265625e-05,0.0003478527069091797
tensor(272.),-0.031056690216064275,"[0.2389232406097, 0.4808636010136, 0.3034638771412]",0.7550504803657532,3.62396240234375e-05,0.00035691261291503906
tensor(279.),-0.031056690216064275,"[0.9987875369763, 0.9829297334522, 0.866269681783]",2.223722219467163,3.5762786865234375e-05,0.0003769397735595703
tensor(288.),-0.031056690216064275,"[0.9979504035498, 0.9869231267156, 0.9702567557977]",2.228397846221924,3.409385681152344e-05,0.00036406517028808594
tensor(295.),-0.031056690216064275,"[0.9997305591614, -0.6234596879274, 0.8468310534683]",1.1332170963287354,3.504753112792969e-05,0.00037407875061035156
tensor(297.),-0.031056690216064275,"[-0.1116698729253, 0.6084626453565, 0.3809473758771]",0.6907448172569275,3.314018249511719e-05,0.0003769397735595703
tensor(306.),-0.031056690216064275,"[0.9973922593807, 0.9812547446848, 0.9842981370632]",2.219149589538574,0.0002429485321044922,0.0003809928894042969
tensor(315.),-0.031056690216064275,"[0.9965263116592, 0.9782946273691, 0.9847169597733]",2.213472843170166,4.8160552978515625e-05,0.0003902912139892578
tensor(324.),-0.031056690216064275,"[0.9946293667277, 0.9806517873724, 0.968895645487]",2.214123249053955,4.100799560546875e-05,0.0003941059112548828
tensor(333.),-0.031056690216064275,"[0.9966871439501, 0.9812052281343, 0.9928903438051]",2.2180206775665283,3.790855407714844e-05,0.0004048347473144531
tensor(342.),-0.031056690216064275,"[0.9947096016918, 0.9792986575453, 0.9728296067492]",2.21224045753479,3.695487976074219e-05,0.0003981590270996094
tensor(347.),-0.031056690216064275,"[0.1845842226681, -0.7273708447222, 0.7377382675879]",0.2611764967441559,5.4836273193359375e-05,0.0004131793975830078
tensor(356.),-0.031056690216064275,"[0.9961813748527, 0.9799587960704, 0.9664664110192]",2.2154183387756348,4.1961669921875e-05,0.0004100799560546875
tensor(357.),-0.031056690216064275,"[-0.1569058083352, -0.0131693286645, 0.138458638908]",0.17835886776447296,4.124641418457031e-05,0.00041413307189941406
tensor(366.),-0.031056690216064275,"[0.9483279496721, -0.4996480353174, 0.9978848735472]",1.049827218055725,0.00011205673217773438,0.00043511390686035156
tensor(375.),-0.031056690216064275,"[0.9626610537084, 0.5633048082274, 0.9976632041878]",1.6359971761703491,5.984306335449219e-05,0.00042700767517089844
tensor(384.),-0.031056690216064275,"[0.9522420836665, 0.3075716646341, 0.9945482122446]",1.3815895318984985,4.124641418457031e-05,0.00043511390686035156
tensor(393.),-0.031056690216064275,"[0.9480442525706, -0.2082234666419, 0.9951922539545]",1.0919829607009888,4.00543212890625e-05,0.0004420280456542969
tensor(399.),-0.031056690216064275,"[0.0391914590529, -0.703501603276, 0.827077115975]",0.1670701801776886,3.814697265625e-05,0.00044417381286621094
tensor(403.),-0.031056690216064275,"[0.5495514012373, -0.8140989559028, 0.6538944574216]",0.6011082530021667,5.125999450683594e-05,0.0004591941833496094
tensor(412.),-0.031056690216064275,"[0.9569091535045, 0.4192095356159, 0.9957651530878]",1.4847652912139893,3.504753112792969e-05,0.00046706199645996094
tensor(413.),-0.031056690216064275,"[0.7443980546701, -0.5839544454544, 0.2480907251514]",0.7787874937057495,3.695487976074219e-05,0.0004661083221435547
tensor(415.),-0.031056690216064275,"[0.1461347788383, -0.490087346776, 0.3580827335471]",0.20979422330856323,9.608268737792969e-05,0.0004718303680419922
tensor(424.),-0.031056690216064275,"[0.9990469021624, 0.4550518017452, 0.9971664066727]",1.5806328058242798,0.00012302398681640625,0.0004658699035644531
tensor(433.),-0.031056690216064275,"[0.9986874465139, 0.8758670285184, 0.9945795039014]",2.0705370903015137,4.410743713378906e-05,0.0004715919494628906
tensor(434.),-0.031056690216064275,"[-0.1600559702365, -0.5271408339804, 0.1421510470427]",0.05914928391575813,3.695487976074219e-05,0.0004820823669433594
tensor(443.),-0.031056690216064275,"[0.9988261662118, 0.7196929663215, 0.9968846512632]",1.868065357208252,3.600120544433594e-05,0.0004799365997314453
tensor(446.),-0.031056690216064275,"[-0.378336073944, 0.150220208016, 0.5300097674867]",0.21979421377182007,3.4809112548828125e-05,0.0004818439483642578
tensor(455.),-0.031056690216064275,"[0.9974090671249, 0.5954092402351, 0.9927558126953]",1.72207772731781,3.314018249511719e-05,0.0004899501800537109
tensor(464.),-0.031056690216064275,"[0.9989909257104, -0.5143553906039, 0.9896968801958]",1.1245900392532349,3.409385681152344e-05,0.0005021095275878906
tensor(473.),-0.031056690216064275,"[0.9966871439501, 0.9597597564661, 0.9927028039347]",2.1864852905273438,0.00011181831359863281,0.0004978179931640625
tensor(482.),-0.031056690216064275,"[0.9986167534079, 0.9798515572027, 0.9976821234233]",2.2189061641693115,4.363059997558594e-05,0.0005147457122802734
tensor(491.),-0.031056690216064275,"[0.998384248676, 0.9806728146604, 0.9989106201983]",2.219773769378662,4.38690185546875e-05,0.0005159378051757812
